key,translation,locale
product.attribute.usb_version,USB-Version,fr_FR
product.attribute.thermal_design_power,Thermal design power,en_US
product.attribute.thermal_design_power,Thermal Design Power,fr_FR
product.attribute.processor_boost_frequency,Processor Boost,en_US
product.attribute.processor_boost_frequency,Prozessor Boost-Taktung,fr_FR
product.attribute.touch_technology,Touch technology,en_US
product.attribute.touch_technology,Touch-Technologie,fr_FR
product.attribute.video_recording_modes,Video recording modes,en_US
product.attribute.video_recording_modes,Videoaufnahme-Modi,fr_FR
product.attribute.voice_recording,Voice recording,en_US
product.attribute.voice_recording,Sprachaufnahme,fr_FR
product.attribute.total_megapixels,Total megapixels,en_US
product.attribute.total_megapixels,Megapixel insgesamt,fr_FR
product.attribute.white_balance,White balance,en_US
product.attribute.white_balance,Weißabgleich,fr_FR
product.attribute.themes,Themes,en_US
product.attribute.themes,Themen,fr_FR
product.attribute.usb_port,USB port,en_US
product.attribute.usb_port,USB-Port,fr_FR
product.detail.out_of_stock,This product is currently not available.,en_US
product.detail.out_of_stock,Das Produkt ist zur Zeit nicht verfügbar.,fr_FR
product.groups,Product Groups,en_US
product.groups,Produktgruppen,fr_FR
cart.pre.check.availability.failed,Item %sku% only has availability of %stock%.,en_US
cart.pre.check.availability.failed,Zurzeit haben wir von %sku% nur %stock% Stück auf Lager.,fr_FR
cart.pre.check.availability.failed.empty,Product '%sku%' is not available at the moment.,en_US
cart.pre.check.availability.failed.empty,Das Produkt '%sku%' ist momentan nicht verfügbar.,fr_FR
cart.pre.check.availability.failed.lead.product,Products inside the item 'sku' are not available at the moment.,en_US
cart.pre.check.availability.failed.lead.product,Produkte im Artikel 'sku' sind momentan nicht verfügbar.,fr_FR
mail.sender.name,Spryker No-Reply,en_US
mail.sender.name,Spryker No-Reply,fr_FR
mail.sender.email,noreply@demo-spryker.com,en_US
mail.sender.email,noreply@demo-spryker.com,fr_FR
mail.company.status.subject,"Your company has changed status",en_US
mail.company.status.subject,"Ihre Firma hat den Status geändert",fr_FR
mail.company.status.text,"Your company has changed status to: ",en_US
mail.company.status.text,"Ihre Firma hat den Status geändert zu: ",fr_FR
mail.company.status.approved,"Approved ",en_US
mail.company.status.approved,"Bestätigt",fr_FR
mail.company.status.pending,Waiting for Approval,en_US
mail.company.status.pending,Warten auf die Bestätigung,fr_FR
mail.company.status.denied,"Denied",en_US
mail.company.status.denied,"Abgelehnt",fr_FR
mail.customer.registration.subject,Vielen Dank für Ihre Anmeldung bei Spryker Shop!,fr_FR
mail.customer.registration.subject,Thank you for signing up with Spryker Shop!,en_US
mail.customer.registration.text,Vielen Dank für Ihre Anmeldung bei Spryker Shop!,fr_FR
mail.customer.registration.text,Thank you for signing up with Spryker Shop!,en_US
mail.customer.restore_password.subject,Neues Passwort für Ihren Spryker Shop Account,fr_FR
mail.customer.restore_password.subject,New password for your Spryker Shop account,en_US
mail.customer.restore_password.text,"""Es wurde ein neues Passwort für Ihren Spryker Shop Account angefordert. Wenn Sie nicht um um eine Neueinrichtung des Passworts gebeten haben, ignorieren Sie bitte diese Email. Klicken Sie auf den folgedenen Link, um Ihr Passwort zu ändern:""",fr_FR
mail.customer.restore_password.text,"""Somebody has requested a new password for your Spryker Shop account. If it's not you, just ignore this email. If it's you, please follow the link bellow:""",en_US
mail.customer.restore_password_confirmation.subject,Ihr Passwort wurde erfolgreich geändert!,fr_FR
mail.customer.restore_password_confirmation.subject,Your password was changed successfully!,en_US
mail.customer.restore_password_confirmation.text,Ihr Passwort wurde erfolgreich geändert!,fr_FR
mail.customer.restore_password_confirmation.text,Your password was changed successfully!,en_US
mail.newsletter.subscribed.subject,Willkommen beim Spryker Newsletter,fr_FR
mail.newsletter.subscribed.subject,Welcome to Spryker newsletter,en_US
mail.newsletter.subscribed.text,"Wir freuen uns, dass Sie sich für unseren Newsletter registriert haben. Wir werden unser bestes geben, um Sie mit relevanten und spannenden News und Updates zu versorgen.",fr_FR
mail.newsletter.subscribed.text,We are thrilled you have signed up for our newletter. We will do our best to deliver you the most relevant and exciting news and updates.,en_US
mail.newsletter.subscribed.footer.text,Viel Spaß beim Shoppen.,fr_FR
mail.newsletter.subscribed.footer.text,Enjoy your shopping experience.,en_US
mail.newsletter.unsubscribed.subject,"Schade, dass Sie uns verlassen…",fr_FR
mail.newsletter.unsubscribed.subject,Sorry to see you go…,en_US
mail.newsletter.unsubscribed.text,Ihre E-Mail-Adresse wurde vom Spryker Shop Newsletter abgemeldet. Sie können sich jederzeit wieder über Ihr Kundenkonto anmelden.,fr_FR
mail.newsletter.unsubscribed.text,"Your email address has been unsubscribed from Spryker Shop newsletter, but you can always manage your subscription in your customer profile.",en_US
mail.order.confirmation.subject,Vielen Dank für deine Bestellung beim Spryker Shop,fr_FR
mail.order.confirmation.subject,Thank you for your order at Spryker Shop,en_US
mail.order.confirmation.salutation,Hallo,fr_FR
mail.order.confirmation.salutation,Hello,en_US
mail.order.confirmation.text_line_1,danke für deine Bestellung beim Spryker Shop!,fr_FR
mail.order.confirmation.text_line_1,Thank you for shopping at Spryker Shop!,en_US
mail.order.confirmation.text_line_2,"Wir schreiben, um Sie zu informieren, dass wir Ihre Bestellung erfasst haben. Sie erhalten eine Versandbestätigung sobald Ihre Bestellung verschickt wurde.",fr_FR
mail.order.confirmation.text_line_2,We are writing to let you know that we got your order. You will receive a shipping confirmation by e-mail from us as soon as the order has been sent.,en_US
mail.order.confirmation.text_line_3,"Hoffentlich gefällt Ihnen Ihre Bestellung. Falls Sie Ihre Meinung ändern, kannst Sie Ihre Bestellung innerhalb von 14 Tagen zurückgeben.",fr_FR
mail.order.confirmation.text_line_3,"We hope you like your order. In case you change your mind, you can return within 14 days.",en_US
mail.order.confirmation.details,Bestelldetails,fr_FR
mail.order.confirmation.details,Details of your order,en_US
mail.order.confirmation.shipping_address,Lieferadresse,fr_FR
mail.order.confirmation.shipping_address,Delivery address,en_US
mail.order.confirmation.billing_address,Rechnungsadresse,fr_FR
mail.order.confirmation.billing_address,Billing address,en_US
mail.order.confirmation.order_number,Bestellnummer,fr_FR
mail.order.confirmation.order_number,Order number,en_US
mail.order.confirmation.price_including_tax,Preis inklusive Steuern,fr_FR
mail.order.confirmation.price_including_tax,Total price including taxes,en_US
mail.order.confirmation.date,Datum,fr_FR
mail.order.confirmation.date,Date of order,en_US
mail.order.confirmation.footer.text_line_1,Viele Grüße,fr_FR
mail.order.confirmation.footer.text_line_1,Have a great day!,en_US
mail.order.confirmation.footer.text_line_2,Ihr Spryker Shop,fr_FR
mail.order.confirmation.footer.text_line_2,Your Spryker Shop,en_US
mail.order.confirmation.shipment_details,Versanddetails,fr_FR
mail.order.confirmation.shipment_details,Shipment details,en_US
mail.order.confirmation.shipment_number,Lieferungsnummer,fr_FR
mail.order.confirmation.shipment_number,Shipment number,en_US
mail.order.confirmation.shipping_method,Versandmethode,fr_FR
mail.order.confirmation.shipping_method,Shipment method,en_US
mail.order.confirmation.delivery_date,Angefordertes Lieferdatum,fr_FR
mail.order.confirmation.delivery_date,Requested delivery date,en_US
mail.order.confirmation.products_in_shipment,Produkte nach Versand,fr_FR
mail.order.confirmation.products_in_shipment,Products by shipment,en_US
mail.order.confirmation.product_title,Produktname,fr_FR
mail.order.confirmation.product_title,Product title,en_US
mail.order.confirmation.item_quantity,Artikel Menge,fr_FR
mail.order.confirmation.item_quantity,Item quantity,en_US
mail.order.confirmation.item_sku,Artikel Menge,fr_FR
mail.order.confirmation.item_sku,Artikel SKU,en_US
mail.order.confirmation.item_price_including_tax,Artikelpreis insgesamt inklusive Steuern,fr_FR
mail.order.confirmation.item_price_including_tax,Total item price including taxes,en_US
mail.order.shipped.subject,Ihre Bestellung %orderReference% ist schon auf dem Weg,fr_FR
mail.order.shipped.subject,Your order %orderReference% is on its way,en_US
mail.order.shipped.salutation,Hallo,fr_FR
mail.order.shipped.salutation,Hello,en_US
mail.order.shipped.text,Ihre Bestellung ist schon auf dem Weg!,fr_FR
mail.order.shipped.text,Your order is already on its way.,en_US
mail.order.shipped.details,Bestelldetails,fr_FR
mail.order.shipped.details,Details of your order,en_US
mail.order.shipped.order_number,Bestellnummer,fr_FR
mail.order.shipped.order_number,Order number,en_US
mail.order.shipped.price_including_tax,Preis inklusive Steuern,fr_FR
mail.order.shipped.price_including_tax,Total price including taxes,en_US
mail.order.shipped.date,Datum,fr_FR
mail.order.shipped.date,Date of order,en_US
mail.order.shipped.footer.text_line_1,Viele Grüße,fr_FR
mail.order.shipped.footer.text_line_1,Have a great day!,en_US
mail.order.shipped.footer.text_line_2,Ihr Spryker Shop,fr_FR
mail.order.shipped.footer.text_line_2,Your Spryker Shop,en_US
mail.order_invoice.subject,"Invoice: %invoiceReference%",en_US
mail.order_invoice.subject,"Rechnung: %invoiceReference%",fr_FR
cart.item.remove.confirm,Are you sure that you want to remove this item?,en_US
cart.item.remove.confirm,"Sind Sie sicher, dass Sie diesen Artikel entfernen möchten?",fr_FR
cart.voucher.remove,Remove,en_US
cart.voucher.remove,Entfernen,fr_FR
cart.vouchers.clear-all,Clear all,en_US
cart.vouchers.clear-all,Alle entfernen,fr_FR
cart.voucher.apply.failed,Your voucher code is invalid.,en_US
cart.voucher.apply.failed,Ihr Gutscheincode ist ungültig.,fr_FR
cart.voucher.apply.successful,Your voucher code has been applied,en_US
cart.voucher.apply.successful,Ihr Gutscheincode wurde angewendet,fr_FR
cart.voucher.apply.non_applicable,The voucher code is invalid,en_US
cart.voucher.apply.non_applicable,Der Gutscheincode ist ungültig,fr_FR
cart.code.apply.failed,Code could not be applied,en_US
cart.code.apply.failed,Gutscheincode konnte nicht angewendet werden,fr_FR
cart.code.enter-code,Gutscheincode eingeben,fr_FR
cart.code.enter-code,Enter voucher code,en_US
cart.item.bundle.description,Items in the bundle:,en_US
cart.item.bundle.description,Produkte in diesem Bündel:,fr_FR
cart_widget.add_product.separate,Add as separate item,en_US
cart_widget.add_product.separate,Als separaten Artikel hinzufügen,fr_FR
checkout.summary.item.bundle.description,Items in the bundle:,en_US
checkout.summary.item.bundle.description,Produkte in diesem Bündel:,fr_FR
customer.order.bundled_items,Produkte in diesem Bündel:,fr_FR
customer.order.bundled_items,Items in the bundle:,en_US
customer.order.options,Produktoptionen:,fr_FR
customer.order.options,Product options:,en_US
countries.iso.AT,Österreich,fr_FR
countries.iso.AT,Austria,en_US
cart.item.option.description,Product options:,en_US
cart.item.option.description,Produktoptionen:,fr_FR
cart.item.sku,SKU,en_US
cart.item.sku,SKU,fr_FR
cart.item.color,Color,en_US
cart.item.color,Farbe,fr_FR
checkout.summary.item.option.description,Product options:,en_US
checkout.summary.item.option.description,Produktoptionen:,fr_FR
invoice.order.address.billing,Billing address,en_US
invoice.order.address.billing,Rechnungsadresse,fr_FR
invoice.order.address.shipping,Shipping address,en_US
invoice.order.address.shipping,Lieferadresse,fr_FR
invoice.header,Invoice,en_US
invoice.header,Rechnung,fr_FR
invoice.order.number,Order reference,en_US
invoice.order.number,Bestellnummer,fr_FR
invoice.customer.number,Customer reference,en_US
invoice.customer.number,Kundennummer,fr_FR
invoice.created.at,Invoice date,en_US
invoice.created.at,Rechnungsdatum,fr_FR
invoice.order.item.sku,SKU,en_US
invoice.order.item.sku,SKU,fr_FR
invoice.order.item.product_name,PRODUCT NAME,en_US
invoice.order.item.product_name,PRODUKT NAME,fr_FR
invoice.order.item.quantity,QUANTITY,en_US
invoice.order.item.quantity,ANZAHL,fr_FR
invoice.order.item.price,ITEM PRICE,en_US
invoice.order.item.price,EINZELPREIS,fr_FR
invoice.order.item.price_total,ITEM TOTAL,en_US
invoice.order.item.price_total,GESAMTPREIS,fr_FR
invoice.order.grand_total,GRAND TOTAL,en_US
invoice.order.grand_total,GESAMTBETRAG,fr_FR
invoice.order.tax_amount,Incl. VAT,en_US
invoice.order.tax_amount,Inkl. MwSt,fr_FR
invoice.order.expenses.total,Shipping costs,en_US
invoice.order.expenses.total,Versandkosten,fr_FR
invoice.company.address,Spryker Systems GmbH<br/>Julie-Wolfthorn-Straße 1<br />10115 Berlin / Germany,en_US
invoice.company.address,Spryker Systems GmbH<br/>Julie-Wolfthorn-Straße 1<br />10115 Berlin / Germany,fr_FR
invoice.company.bank.information,Bank Name<br/>IBAN 1234 5678 9123 4567 89<br />BIC 12345678<br/>Handelsregister ABC123456<br />Steuernummer 12/345/6789,en_US
invoice.company.bank.information,Bank Name<br/>IBAN 1234 5678 9123 4567 89<br />BIC 12345678<br/>Handelsregister ABC123456<br />Steuernummer 12/345/6789,fr_FR
invoice.company.contact.information,+49 (0)30 2084983 50<br/>hello@spryker.com,en_US
invoice.company.contact.information,+49 (0)30 2084983 50<br/>hello@spryker.com,fr_FR
DummyPaymentCreditCard,Credit Card,en_US
DummyPaymentCreditCard,Kreditkarte,fr_FR
payment.dummy-payment.credit-card,Pay with the following credit card:,en_US
payment.dummy-payment.credit-card,Mit der folgenden Kreditkarte bezahlen:,fr_FR
dummyPaymentCreditCard.card_type,Card Type,en_US
dummyPaymentCreditCard.card_type,Kartentyp,fr_FR
dummyPaymentCreditCard.card_number,Card Number,en_US
dummyPaymentCreditCard.card_number,Nummer,fr_FR
dummyPaymentCreditCard.name_on_card,Name on the Card,en_US
dummyPaymentCreditCard.name_on_card,Name auf der Karte,fr_FR
dummyPaymentCreditCard.card_expires,Expiry Date,en_US
dummyPaymentCreditCard.card_expires,Gültig bis,fr_FR
dummyPaymentCreditCard.card_security_code,CVC,en_US
dummyPaymentCreditCard.card_security_code,CVC,fr_FR
DummyPaymentInvoice,Invoice,en_US
DummyPaymentInvoice,Auf Rechnung,fr_FR
dummyPaymentInvoice.invoice,Pay with invoice:,en_US
dummyPaymentInvoice.invoice,Auf Rechnung bezahlen:,fr_FR
dummyPaymentInvoice.date_of_birth,Date of Birth,en_US
dummyPaymentInvoice.date_of_birth,Geburtsdatum,fr_FR
dummyPaymentInvoice.icon,invoice-logo,en_US
dummyPaymentInvoice.icon,rechnung-logo,fr_FR
DummyMarketplacePaymentInvoice,Marketplace Invoice,en_US
DummyMarketplacePaymentInvoice,Auf Rechnung,fr_FR
dummyMarketplacePaymentInvoice.invoice,Pay with invoice:,en_US
dummyMarketplacePaymentInvoice.invoice,Auf Rechnung bezahlen:,fr_FR
checkout.payment.provider.DummyMarketplacePayment,Dummy Marketplace Payment,en_US
checkout.payment.provider.DummyMarketplacePayment,Beispiel Marktplatz Zahlungsmethode,fr_FR
cart.item.item_price,Item price,en_US
cart.item.item_price,Stückpreis,fr_FR
cart.item.item_total,Item total,en_US
cart.item.item_total,Artikel Gesamt,fr_FR
cart.shipping,Shipping,en_US
cart.shipping,Versand,fr_FR
product_review.product_ratings,Product Ratings,en_US
product_review.product_ratings,Bewertungen,fr_FR
product_review.product_reviews,Product Reviews,en_US
product_review.product_reviews,Rezensionen,fr_FR
product_review.on,on,en_US
product_review.on,am,fr_FR
product_review.summary.star,star,en_US
product_review.summary.star,Stern,fr_FR
product_review.summary.stars,stars,en_US
product_review.summary.stars,Sterne,fr_FR
product_review.summary.out_of,out of,en_US
product_review.summary.out_of,von,fr_FR
product_review.summary.review,review,en_US
product_review.summary.review,Bewertung,fr_FR
product_review.summary.reviews,reviews,en_US
product_review.summary.reviews,Bewertungen,fr_FR
product_review.summary.title,Ratings & Reviews,en_US
product_review.summary.title,Bewertungen und Rezensionen,fr_FR
product_review.no_reviews,No review for this product yet,en_US
product_review.no_reviews,Dieses Produkt hat noch keine Bewertung,fr_FR
product_review.submit.add_a_review,Add a Review,en_US
product_review.submit.add_a_review,Bewertung abgeben,fr_FR
product_review.submit.rating,Rating,en_US
product_review.submit.rating,Bewertung,fr_FR
product_review.submit.rating.none,No rating was selected,en_US
product_review.submit.rating.none,Es wurde keine Bewertung ausgewählt,fr_FR
product_review.submit.summary,Summary,en_US
product_review.submit.summary,Überschrift,fr_FR
product_review.submit.description,Description,en_US
product_review.submit.description,Rezension,fr_FR
product_review.submit.nickname,Name,en_US
product_review.submit.nickname,Name,fr_FR
product_review.submit.success,Product review was successfully submitted.,en_US
product_review.submit.success,Produktrezension wurde erfolgreich versendet.,fr_FR
product_review.error.no_customer,Please login to access this feature.,en_US
product_review.error.no_customer,"Bitte melden Sie sich an, um Zugiff auf dieses Feature zu erhalten.",fr_FR
product_review.error.invalid_rating,Product rating should be selected.,en_US
product_review.error.invalid_rating,Produktbewertung soll ausgewählt werden.,fr_FR
cart.promotion.items,Promotional products,en_US
cart.promotion.items,Werbeprodukte,fr_FR
checkout.payment_method.invalid,Checkout Zahlung ist ungültig,fr_FR
checkout.payment_method.invalid,Checkout payment is not valid,en_US
checkout.payment.provider.DummyPayment,Dummy Payment,en_US
checkout.payment.provider.DummyPayment,Beispiel-Zahlungsart,fr_FR
checkout.order.duplicate,Order with given reference {{reference}} already exists,en_US
checkout.order.duplicate,Bestellung mit gegebener Referenz {{reference}} existiert bereits,fr_FR
cms.preview.access_denied,You are not logged in or you do not have permission to access this page.,en_US
cms.preview.access_denied,"Sie sind nicht angemeldet oder haben keine Berechtigung, diese Seite zu betreten.",fr_FR
product-cart.validation.error.abstract-product-exists,"Product ""sku"" not found",en_US
product-cart.validation.error.abstract-product-exists,"Produkt ""sku"" nicht gefunden",fr_FR
product-cart.validation.error.concrete-product-exists,"Product ""sku"" not found",en_US
product-cart.validation.error.concrete-product-exists,"Produkt ""sku"" nicht gefunden",fr_FR
cart.item.option.pre.check.validation.error.exists,"Product option of %name% is not available anymore.",en_US
cart.item.option.pre.check.validation.error.exists,"Produktoption von %name% ist nicht mehr verfügbar.",fr_FR
product-cart.validation.error.product-option-value-price-exists,"Product option price for product '%sku%' not found.",en_US
product-cart.validation.error.product-option-value-price-exists,"Produktoptionspreis für Produkt '%sku%' nicht gefunden.",fr_FR
product-cart.validation.error.concrete-product-inactive,"Product ""sku"" is not active.",en_US
product-cart.validation.error.concrete-product-inactive,"Produkt ""sku"" ist nicht aktiv.",fr_FR
product-approval.message.not-approved,Product sku %sku% is not active.,en_US
product-approval.message.not-approved,Produkt sku %sku% ist nicht aktiv.,fr_FR
product-cart.info.concrete-product-inactive.removed,"Inactive item %sku% was removed from your shopping cart.",en_US
product-cart.info.concrete-product-inactive.removed,"Der inaktive Artikel %sku% wurde aus Ihrem Warenkorb entfernt.",fr_FR
product-cart.info.restricted-product.removed,"The Item %sku% was removed from the cart because it was deactivated.",en_US
product-cart.info.restricted-product.removed,"Der Artikel %sku% wurde aus Ihrem Warenkorb entfernt da er deaktiviert wurde.",fr_FR
reorder.info.restricted-product.removed,"The Item %sku% could not be added to cart because it was deactivated.",en_US
reorder.info.restricted-product.removed,"Der Artikel %sku% konnte Ihrem Warenkorb nicht hinzugefügt werden da er deaktiviert wurde.",fr_FR
product.filter.label,Product Labels,en_US
product.filter.label,Label,fr_FR
product.filter.price-default-chf-gross_mode,Preis,fr_FR
product.filter.price-default-chf-gross_mode,Price range,en_US
product.filter.price-default-chf-net_mode,Preis,fr_FR
product.filter.price-default-chf-net_mode,Price range,en_US
product.filter.price-default-eur-net_mode,Preis,fr_FR
product.filter.price-default-eur-net_mode,Price range,en_US
product.filter.price-default-eur-gross_mode,Preis,fr_FR
product.filter.price-default-eur-gross_mode,Price range,en_US
price.mode.gross_mode,Gross prices,en_US
price.mode.gross_mode,Bruttopreise,fr_FR
price.mode.net_mode,Net prices,en_US
price.mode.net_mode,Nettopreise,fr_FR
price.mode.incl_vat,incl VAT,en_US
price.mode.incl_vat,inkl. MwSt.,fr_FR
price.mode.excl_vat,excl VAT,en_US
price.mode.excl_vat,exkl. MwSt.,fr_FR
price_product.error.price_not_found,Product price not found.,en_US
price_product.error.price_not_found,Produktpreis nicht gefunden.,fr_FR
cart.pre.check.price.failed,"Price in selected currency not found for product with sku '%sku%'. Please change the currency or remove product from order.",en_US
cart.pre.check.price.failed,"Der Preis in der ausgewählten Währung wurde für das Produkt mit sku '%sku%' nicht gefunden. Bitte ändern Sie die Währung oder entfernen Sie das Produkt aus der Bestellung.",fr_FR
price.mode.switch.error,"Can't switch price mode when there are items in the cart.",en_US
price.mode.switch.error,"Preismodus kann nicht geändert werden, wenn sich Artikel im Warenkorb befinden.",fr_FR
price-cart-connector.info.concrete-product-without-price.removed,"Item %sku% without price was removed from your shopping cart.",en_US
price-cart-connector.info.concrete-product-without-price.removed,"Artikel% sku% ohne Preis wurde aus Ihrem Warenkorb entfernt.",fr_FR
cart.pre.check.shipment.failed,"Can't apply these changes. The shipment method not found. Please select another shipment method.",en_US
cart.pre.check.shipment.failed,"Diese Änderungen können nicht angewendet werden. Die Versandart wurde nicht gefunden. Bitte wählen Sie eine andere Versandart aus.",fr_FR
catalog.view.mode.grid,Grid,en_US
catalog.view.mode.grid,Gitter,fr_FR
catalog.view.mode.list,List,en_US
catalog.view.mode.list,Liste,fr_FR
cart.quantity.adjusted,Requested item quantity was adjusted as far as selected quantity is not available.,en_US
cart.quantity.adjusted,"Die angeforderte Artikelmenge wurde angepasst, da die ausgewählte Menge nicht verfügbar ist.",fr_FR
catalog.sale,Sale,en_US
catalog.sale,Sale,fr_FR
catalog.new,New,en_US
catalog.new,Neu,fr_FR
company.account.page-title,My Company,en_US
company.account.page-title,Meine Firma,fr_FR
company.account.no-company-title,No Company,en_US
company.account.no-company-title,Keine Firma,fr_FR
company.account.name,Company Name,en_US
company.account.name,Firmenname,fr_FR
company.account,Company Account,en_US
company.account,Firmenkonto,fr_FR
company.account.address.edit,Edit,en_US
company.account.address.edit,Adresse bearbeiten,fr_FR
company.account.address.delete,Delete,en_US
company.account.address.delete,Löschen,fr_FR
company.account.shipping_address,Default Shipping Address,en_US
company.account.shipping_address,Standard Lieferadresse,fr_FR
company.account.billing_address,Default Billing Address,en_US
company.account.billing_address,Standard Rechnungsadresse,fr_FR
company.account.address.address1,Street,en_US
company.account.address.address1,Straße,fr_FR
company.account.address.number,Number,en_US
company.account.address.number,Nummer,fr_FR
company.account.address.address3,Addition to address,en_US
company.account.address.address3,Adresszusatz,fr_FR
company.account.address.zip_code,Zip code,en_US
company.account.address.zip_code,PLZ,fr_FR
company.account.address.city,City,en_US
company.account.address.city,Stadt,fr_FR
company.account.address.country,Country,en_US
company.account.address.country,Land,fr_FR
company.account.address.phone,Telephone number,en_US
company.account.address.phone,Telefonnummer,fr_FR
company.account.address,Addresses,en_US
company.account.address,Adressen,fr_FR
company.account.edit_address_information,Edit Address Information,en_US
company.account.edit_address_information,Ändern,fr_FR
company.account.login.title,Access your account,en_US
company.account.login.title,Ich bin bereits Kunde,fr_FR
company.account.login.email,Email,en_US
company.account.login.email,E-mail,fr_FR
company.account.login.password,Password,en_US
company.account.login.password,Passwort,fr_FR
company.account.registration.title,Create account,en_US
company.account.registration.title,Ich bin Neukunde,fr_FR
company.user.first_name,Vorname,fr_FR
company.user.first_name,First Name,en_US
company.user.last_name,Nachname,fr_FR
company.user.last_name,Surname,en_US
company.user.salutation.mr,Herr,fr_FR
company.user.salutation.mr,Mr.,en_US
company.user.salutation.mrs,Frau,fr_FR
company.user.salutation.mrs,Mrs.,en_US
company.user.salutation.ms,Frau,fr_FR
company.user.salutation.ms,Ms.,en_US
company.user.salutation.dr,Dr.,en_US
company.user.salutation.dr,Dr.,fr_FR
company.account.overview,Overview,en_US
company.account.overview,Übersicht,fr_FR
company.user.invitation.title.plural,Invitations,en_US
company.user.invitation.title.plural,Einladungen,fr_FR
company.user.invitation.invite_users,Invite users,en_US
company.user.invitation.invite_users,Benutzer einladen,fr_FR
company.user.invitation.imported.title.plural,Imported invitations,en_US
company.user.invitation.imported.title.plural,Importierte Einladungen,fr_FR
company.user.invitation.import.title,Import new invitations,en_US
company.user.invitation.import.title,Importieren Sie neue Einladungen,fr_FR
company.user.invitation.import.download.errors.file,"Some invitations failed to be imported. Click <a href=""%link%"">here</a> to download the errors file",en_US
company.user.invitation.import.download.errors.file,"Einige Einladungen konnten nicht importiert werden. Klicken Sie <a href=""%link%""> hier </a>, um die Fehlerdatei herunterzuladen",fr_FR
company.user.invitation.import.error.message,Invitations import failed,en_US
company.user.invitation.import.error.message,Der Import von Einladungen ist fehlgeschlagen,fr_FR
company.user.invitation.file,Invitations file,en_US
company.user.invitation.file,Einladungsdatei,fr_FR
company.user.invitation.first.name,First Name,en_US
company.user.invitation.first.name,Vorname,fr_FR
company.user.invitation.last.name,Last Name,en_US
company.user.invitation.last.name,Name,fr_FR
company.user.invitation.mail,Mail,en_US
company.user.invitation.mail,Mail,fr_FR
company.user.invitation.business.unit,Business Unit,en_US
company.user.invitation.business.unit,Geschäftsbereich,fr_FR
company.user.invitation.status,Status,en_US
company.user.invitation.status,Status,fr_FR
company.user.invitation.actions,Actions,en_US
company.user.invitation.actions,Aktionen,fr_FR
company.user.invitation.status.new,Not Sent,en_US
company.user.invitation.status.new,Nicht gesendet,fr_FR
company.user.invitation.status.pending,Pending,en_US
company.user.invitation.status.pending,Steht Aus,fr_FR
company.user.invitation.status.accepted,Accepted,en_US
company.user.invitation.status.accepted,Akzeptiert Aus,fr_FR
company.user.invitation.not.found.message,Invitation not found,en_US
company.user.invitation.not.found.message,Einladung nicht gefunden,fr_FR
company.user.invitation.send.button,Send,en_US
company.user.invitation.send.button,Senden,fr_FR
company.user.invitation.sent.success.message,Invitation sent successfully,en_US
company.user.invitation.sent.success.message,Einladung erfolgreich gesendet,fr_FR
company.user.invitation.sent.error.message,Invitation was not sent,en_US
company.user.invitation.sent.error.message,Einladung wurde nicht gesendet,fr_FR
company.user.invitation.send.all.button,Send All,en_US
company.user.invitation.send.all.button,Sende alle,fr_FR
company.user.invitation.sent.all.success.message,All invitations sent successfully,en_US
company.user.invitation.sent.all.success.message,Alle Einladungen erfolgreich gesendet,fr_FR
company.user.invitation.sent.all.none.found.message,No invitations to send found,en_US
company.user.invitation.sent.all.none.found.message,Keine Einladungen zum Senden gefunden,fr_FR
company.user.invitation.sent.all.error.message,Some invitations failed to be sent,en_US
company.user.invitation.sent.all.error.message,Einige Einladungen wurden nicht gesendet,fr_FR
company.user.invitation.resend.title,Resend invitation,en_US
company.user.invitation.resend.title,Einladung erneut versenden,fr_FR
company.user.invitation.resend.confirmation.question,Are you sure you want to resend the invitation?,en_US
company.user.invitation.resend.confirmation.question,Möchten Sie die Einladung wirklich erneut senden?,fr_FR
company.user.invitation.resend.button,Resend,en_US
company.user.invitation.resend.button,Erneut senden,fr_FR
company.user.invitation.resent.success.message,Invitation resent successfully,en_US
company.user.invitation.resent.success.message,Einladung wird erfolgreich erneut gesendet,fr_FR
company.user.invitation.resent.error.message,Invitation was not resent,en_US
company.user.invitation.resent.error.message,Die Einladung wurde nicht erneut gesendet,fr_FR
company.user.invitation.delete.title,Delete invitation,en_US
company.user.invitation.delete.title,Einladung löschen,fr_FR
company.user.invitation.delete.confirmation.question,Are you sure you want to delete the invitation?,en_US
company.user.invitation.delete.confirmation.question,Möchten Sie die Einladung wirklich löschen?,fr_FR
company.user.invitation.delete.button,Delete,en_US
company.user.invitation.delete.button,Löschen,fr_FR
company.user.invitation.deleted.success.message,Invitation deleted successfully,en_US
company.user.invitation.deleted.success.message,Die Einladung wurde erfolgreich gelöscht,fr_FR
company.user.invitation.deleted.error.message,Invitation was not deleted,en_US
company.user.invitation.deleted.error.message,Die Einladung wurde nicht gelöscht,fr_FR
company.user.invitation.invalid,Your invitation is not valid,en_US
company.user.invitation.invalid,Ihre Einladung ist nicht gültig,fr_FR
company.user.invitation.expired,Your invitation has expired,en_US
company.user.invitation.expired,Ihre Einladung ist abgelaufen,fr_FR
company.user.invitation.accepted,Your invitation has already been used,en_US
company.user.invitation.accepted,Ihre Einladung wurde bereits verwendet,fr_FR
company.user.invitation.import.file.invalid,The import file is not valid,en_US
company.user.invitation.import.file.invalid,Die Importdatei ist nicht gültig,fr_FR
